println			
Paragraph methods list 	 	 	 
Definition class 	Method signature 	Leading line parameter legend 	Following line parameter legend 
role.RoleStructure	~<>attachToAll	{agents_col_key}	
role.RoleStructure	~attachToAll	{agents_col_key}	
role.RoleStructure	~<>attachToFirst	{agents_list_key}	
role.RoleStructure	~attachToFirst	{agents_list_key}	
role.RoleStructure	~<>attachToLast	{agents_list_key}	
role.RoleStructure	~attachToLast	{agents_list_key}	
role.RoleStructure	~<>attachToMax	{agents_sortedset_key}	
role.RoleStructure	~attachToMax	{agents_sortedset_key}	
role.RoleStructure	~<>attachToMin	{agents_sortedset_key}	
role.RoleStructure	~attachToMin	{agents_sortedset_key}	
role.RoleStructure	~<>attachToOne	{agents_col_key}	
role.RoleStructure	~attachToOne	{agents_col_key}	
role.RoleStructure	~<>attachToRandomOne	{agents_col_key}	
role.RoleStructure	~attachToRandomOne	{agents_col_key}	
role.RoleForSpots	~<>clearMap	{map_key}	
role.RoleStructure	~clearMap	{map_key}	
role.RoleForSpots	~<>cloneEquip	{dest_key}[={src_key}]	
role.RoleStructure	~cloneEquip	{dest_key}[={src_key}]	
role.RoleForSpots	<>containsAgent	{col_key}[={agent_name}]	
role.RoleStructure	containsAgent	{col_key}[={agent_name}]	
role.RoleForSpots	<>containsAll	{dest_col_key}={src_col_key}	
role.RoleStructure	containsAll	{dest_col_key}={src_col_key}	
role.RoleForSpots	<>containsEquip	{col_key}={equip_key}	
role.RoleStructure	containsEquip	{col_key}={equip_key}	
role.RoleForSpots	<>containsKey	{map_key}={{key}}	
role.RoleStructure	containsKey	{map_key}={{key}}	
role.RoleForSpots	<>containsSpot	{col_key}[={spot_name}]	
role.RoleStructure	containsSpot	{col_key}[={spot_name}]	
role.RoleForSpots	<>containsString	{col_key}={string}	
role.RoleStructure	containsString	{col_key}={string}	
role.RoleForSpots	<>containsValue	{map_key}={{value}}	
role.RoleStructure	containsValue	{map_key}={{value}}	
role.RoleForSpots	~<>copy	{dest_prop_key}={src_prop_key}	
role.RoleStructure	~copy	{dest_prop_key}={src_prop_key}	
role.RoleForSpots	~<>copyEquip	{dest_equip_key}={src_equip_key}	
role.RoleStructure	~copyEquip	{dest_equip_key}={src_equip_key}	
role.RoleStructure	~<>copyInstance	{equip_key or invoker_key}[={equip_key or invoker_key}]	
role.RoleStructure	~copyInstance	{equip_key or invoker_key}[={equip_key or invoker_key}]	
role.RoleForSpots	~<>createAgent	{name_head}[={create_number}[={role_type}]]	
role.RoleForSpots	~createAgent	{name_head}[={create_number}[={role_type}]]	
role.RoleStructure	~detach		
role.RoleForSpots	~<>detachAll	{agents_col_key}	
role.RoleStructure	~detachAll	{agents_col_key}	
role.RoleForSpots	~<>detachFirst	{agents_list_key}	
role.RoleStructure	~detachFirst	{agents_list_key}	
role.RoleForSpots	~<>detachLast	{agents_list_key}	
role.RoleStructure	~detachLast	{agents_list_key}	
role.RoleForSpots	~<>detachMax	{agents_sortedset_key}	
role.RoleStructure	~detachMax	{agents_sortedset_key}	
role.RoleForSpots	~<>detachMin	{agents_sortedset_key}	
role.RoleStructure	~detachMin	{agents_sortedset_key}	
role.RoleForSpots	~<>detachOne	{agents_col_key}	
role.RoleStructure	~detachOne	{agents_col_key}	
role.RoleForSpots	~<>detachRandomOne	{agents_col_key}	
role.RoleStructure	~detachRandomOne	{agents_col_key}	
role.RoleStructure	~doSelfResolution		
role.RoleForSpots	<>equals	{dest_prop_key}={src_prop_key}	
role.RoleStructure	equals	{dest_prop_key}={src_prop_key}	
role.RoleForSpots	<>equalsEquip	{dest_equip_key}={src_equip_key}	
role.RoleStructure	equalsEquip	{dest_equip_key}={src_equip_key}	
role.RoleForSpots	~<>equip	{dest_equip_key}[={src_prop_key}]	
role.RoleStructure	~equip	{dest_equip_key}[={src_prop_key}]	
role.RoleForSpots	~<>equipFirst	{equip_key}={list_key}	
role.RoleStructure	~equipFirst	{equip_key}={list_key}	
role.RoleForSpots	~<>equipLast	{equip_key}={list_key}	
role.RoleStructure	~equipLast	{equip_key}={list_key}	
role.RoleForSpots	~<>equipMapKeys	{equip_key}={map_key}	
role.RoleStructure	~equipMapKeys	{equip_key}={map_key}	
role.RoleForSpots	~<>equipMapValues	{equip_key}={map_key}	
role.RoleStructure	~equipMapValues	{equip_key}={map_key}	
role.RoleForSpots	~<>equipMax	{equip_key}={sortedset_key}	
role.RoleStructure	~equipMax	{equip_key}={sortedset_key}	
role.RoleForSpots	~<>equipMin	{equip_key}={sortedset_key}	
role.RoleStructure	~equipMin	{equip_key}={sortedset_key}	
role.RoleForSpots	~<>equipOne	{equip_key}={col_key}	
role.RoleStructure	~equipOne	{equip_key}={col_key}	
role.RoleForSpots	~<>equipRandomOne	{equip_key}={col_key}	
role.RoleStructure	~equipRandomOne	{equip_key}={col_key}	
role.RoleForSpots	FALSE		
role.RoleForSpots	~<>get	{self_prop_key}[={spot_prop_key}]	
role.RoleForSpots	~<>getEquip	{self_equip_key}[={spot_equip_key}]	
role.RoleForSpots	~<>getField	{equip_key or invoker_key}={invoker_key}={field_name}	
role.RoleForSpots	~<>getMap	{equip_key}={map_key}={{key}}	
role.RoleStructure	~getMap	{equip_key}={map_key}={{key}}	
role.RoleForSpots	<>invokeClass	[{equip_key or invoker_key}=]{invoker_name}={method_name}	
role.RoleStructure	invokeClass	[{equip_key or invoker_key}=]{invoker_name}={method_name}	
role.RoleForSpots	<>invokeEquip	[[{dest_equip_key} ]< ]{equip_key}={method_name} < {src_equip_key}	
role.RoleStructure	invokeEquip	[[{dest_equip_key} ]< ]{equip_key}={method_name} < {src_equip_key}	
role.RoleForSpots	<>is	{prop_key}={string}	
role.RoleStructure	is	{prop_key}={string}	
role.RoleForSpots	<>isEmpty	{col_key}	
role.RoleStructure	isEmpty	{col_key}	
role.RoleForSpots	<>isEmptyMap	{map_key}	
role.RoleStructure	isEmptyMap	{map_key}	
role.RoleForSpots	<>isEquip	{equip_key}[={class_name}]	
role.RoleStructure	isEquip	{equip_key}[={class_name}]	
role.RoleForSpots	<>isFirstAgent	{list_key}[={agent_name}]	
role.RoleStructure	isFirstAgent	{list_key}[={agent_name}]	
role.RoleForSpots	<>isFirstEquip	{list_key}={equip_key}	
role.RoleStructure	isFirstEquip	{list_key}={equip_key}	
role.RoleForSpots	<>isFirstSpot	{list_key}[={spot_name}]	
role.RoleStructure	isFirstSpot	{list_key}[={spot_name}]	
role.RoleForSpots	<>isFirstString	{list_key}={string}	
role.RoleStructure	isFirstString	{list_key}={string}	
role.RoleForSpots	<>isLastAgent	{list_key}[={agent_name}]	
role.RoleStructure	isLastAgent	{list_key}[={agent_name}]	
role.RoleForSpots	<>isLastEquip	{list_key}={equip_key}	
role.RoleStructure	isLastEquip	{list_key}={equip_key}	
role.RoleForSpots	<>isLastSpot	{list_key}[={spot_name}]	
role.RoleStructure	isLastSpot	{list_key}[={spot_name}]	
role.RoleForSpots	<>isLastString	{list_key}={string}	
role.RoleStructure	isLastString	{list_key}={string}	
role.RoleForSpots	<>isMaxAgent	{sortedset_key}[={agent_name}]	
role.RoleStructure	isMaxAgent	{sortedset_key}[={agent_name}]	
role.RoleForSpots	<>isMaxEquip	{sortedset_key}={equip_key}	
role.RoleStructure	isMaxEquip	{sortedset_key}={equip_key}	
role.RoleForSpots	<>isMaxSpot	{sortedset_key}[={spot_name}]	
role.RoleStructure	isMaxSpot	{sortedset_key}[={spot_name}]	
role.RoleForSpots	<>isMaxString	{sortedset_key}={string}	
role.RoleStructure	isMaxString	{sortedset_key}={string}	
role.RoleForSpots	<>isMinAgent	{sortedset_key}[={agent_name}]	
role.RoleStructure	isMinAgent	{sortedset_key}[={agent_name}]	
role.RoleForSpots	<>isMinEquip	{sortedset_key}={equip_key}	
role.RoleStructure	isMinEquip	{sortedset_key}={equip_key}	
role.RoleForSpots	<>isMinSpot	{sortedset_key}[={spot_name}]	
role.RoleStructure	isMinSpot	{sortedset_key}[={spot_name}]	
role.RoleForSpots	<>isMinString	{sortedset_key}={string}	
role.RoleStructure	isMinString	{sortedset_key}={string}	
role.RoleStructure	isRole	[[{role_key}=]{role_type}]	
role.RoleForSpots	<>isRole	[{role_key}=]{role_type}	
role.RoleForSpots	<>isSpot	[{spot_key}]	
role.RoleForSpots	<>isTime	[@]{time or time_key}	
role.RoleStructure	isTime	[@]{time or time_key}	
role.RoleForSpots	~<>keyword	{prop_key}[={string}]	
role.RoleStructure	~keyword	{prop_key}[={string}]	
role.RoleForSpots	~<>logEquip	{dest_prop_key}[={src_equip_key}]	
role.RoleStructure	~logEquip	{dest_prop_key}[={src_equip_key}]	
role.RoleStructure	~<>moveTo		
role.RoleForSpots	~<>moveToAll	{agents_col_key}	
role.RoleStructure	~<>moveToFirst	{spots_list_key}	
role.RoleStructure	~moveToFirst	{spots_list_key}	
role.RoleStructure	~<>moveToLast	{spots_list_key}	
role.RoleStructure	~moveToLast	{spots_list_key}	
role.RoleStructure	~<>moveToMax	{spots_sortedset_key}	
role.RoleStructure	~moveToMax	{spots_sortedset_key}	
role.RoleStructure	~<>moveToMin	{spots_sortedset_key}	
role.RoleStructure	~moveToMin	{spots_sortedset_key}	
role.RoleStructure	~<>moveToOne	{spots_col_key}	
role.RoleStructure	~moveToOne	{spots_col_key}	
role.RoleStructure	~<>moveToRandomOne	{spots_col_key}	
role.RoleStructure	~moveToRandomOne	{spots_col_key}	
role.RoleForSpots	~<>newInstance	[{equip_key or invoker_key}=]{invoker_key}	
role.RoleStructure	~newInstance	[{equip_key or invoker_key}=]{invoker_key}	
role.RoleForSpots	~nextStage	{stage_name}	
role.RoleForSpots	~<>printEquip	{dest_prop_key}[={src_equip_key}]	
role.RoleStructure	~printEquip	{dest_prop_key}[={src_equip_key}]	
role.RoleForSpots	~<>put	{spot_prop_key}[={self_prop_key}]	
role.RoleForSpots	~<>putEquip	{spot_equip_key}[={self_equip_key}]	
role.RoleForSpots	~<>putMap	[{equip_key}=]{map_key}={{key}}={{value}}	
role.RoleStructure	~putMap	[{equip_key}=]{map_key}={{key}}={{value}}	
role.RoleForSpots	~<>putMapAll	{dest_map_key}={src_map_key}	
role.RoleStructure	~putMapAll	{dest_map_key}={src_map_key}	
role.RoleForSpots	<>removeAgent	{col_key}[={agent_name}]	
role.RoleStructure	removeAgent	{col_key}[={agent_name}]	
role.RoleForSpots	<>removeAll	{dest_col_key}[={src_col_key}]	
role.RoleStructure	removeAll	{dest_col_key}[={src_col_key}]	
role.RoleForSpots	<>removeEquip	{col_key}={equip_key}	
role.RoleStructure	removeEquip	{col_key}={equip_key}	
role.RoleForSpots	~<>removeFirst	[{equip_key}=]{list_key}	
role.RoleStructure	~removeFirst	[{equip_key}=]{list_key}	
role.RoleForSpots	~<>removeLast	[{equip_key}=]{list_key}	
role.RoleStructure	~removeLast	[{equip_key}=]{list_key}	
role.RoleForSpots	~<>removeMap	[{equip_key}=]{map_key}={{key}}	
role.RoleStructure	~removeMap	[{equip_key}=]{map_key}={{key}}	
role.RoleForSpots	~<>removeMax	[{equip_key}=]{sortedset_key}	
role.RoleStructure	~removeMax	[{equip_key}=]{sortedset_key}	
role.RoleForSpots	~<>removeMin	[{equip_key}=]{sortedset_key}	
role.RoleStructure	~removeMin	[{equip_key}=]{sortedset_key}	
role.RoleForSpots	~<>removeOne	[{equip_key}=]{col_key}	
role.RoleStructure	~removeOne	[{equip_key}=]{col_key}	
role.RoleForSpots	~<>removeRandomOne	[{equip_key}=]{col_key}	
role.RoleStructure	~removeRandomOne	[{equip_key}=]{col_key}	
role.RoleForSpots	<>removeSpot	{col_key}[={spot_name}]	
role.RoleStructure	removeSpot	{col_key}[={spot_name}]	
role.RoleForSpots	<>removeString	{col_key}={string}	
role.RoleStructure	removeString	{col_key}={string}	
role.RoleForSpots	<>retainAll	{dest_col_key}={src_col_key}	
role.RoleStructure	retainAll	{dest_col_key}={src_col_key}	
role.RoleForSpots	~<>reverseAll	{list_key}	
role.RoleStructure	~reverseAll	{list_key}	
role.RoleForSpots	~<>rotateAll	{list_key}=[-]{distance_value or distance_key}	
role.RoleStructure	<>rotateAll	{list_key}=[-]{distance_value or distance_key}	
role.RoleForSpots	~<>set	{prop_key}[={string}]	
role.RoleStructure	~set	{prop_key}[={string}]	
role.RoleForSpots	~<>setAll	{col_key}={prop_key}={string}	
role.RoleStructure	~setAll	{col_key}={prop_key}={string}	
role.RoleForSpots	~<>setClass	{invoker_key}={class_name}	
role.RoleStructure	~setClass	{invoker_key}={class_name}	
role.RoleForSpots	~<>setEquip	{equip_key}[={class_name}]	
role.RoleStructure	~setEquip	{equip_key}[={class_name}]	
role.RoleForSpots	~<>setField	{invoker_key}={field_name}	
role.RoleStructure	~setField	{invoker_key}={field_name}	
role.RoleForSpots	~<>setParamType	{invoker_key}={class_name}	
role.RoleStructure	~setParamType	{invoker_key}={class_name}	
role.RoleForSpots	~<>setRole	{role_key}[={role_type}]	
role.RoleStructure	~setRole	{role_key}[={role_type}]	
role.RoleForSpots	~<>setSpot	{spot_key}	
role.RoleForSpots	~<>setTime	{time_key}[[+|-]={time}]	
role.RoleStructure	~setTime	{time_key}[[+|-]={time}]	
role.RoleForSpots	~<>shuffleAll	{list_key}	
role.RoleStructure	~shuffleAll	{list_key}	
role.RoleForSpots	~<>sortAll	{list_key}	
role.RoleStructure	~sortAll	{list_key}	
role.RoleForSpots	~<>startRule	[{role_type}]	
role.RoleForSpots	~<>startRuleAll	{col_key}[={role_type}]	
role.RoleStructure	~startRuleAll	{col_key}[={role_type}]	
role.RoleForSpots	~stopRule		
role.RoleForSpots	terminate		
role.RoleForSpots	trace		
role.RoleForSpots	traceOff		
role.RoleForSpots	TRUE		
			
